/* DATA DESCRIPTION:
Citation:	Angelopoulos, Michael; Westermann, Sebastian; Overduin, Pier Paul; Faguet, Alexey; Olenchenko, Vladimir; Grosse, Guido; Grigoriev, Mikhail N (2018): Terrestrial and nearshore apparent resistivity data on the Bykovsky Peninsula in July 2017. PANGAEA, https://doi.org/10.1594/PANGAEA.895886, 
	In supplement to: Angelopoulos, M et al. (2019): Heat and Salt Flow in Subsea Permafrost Modeled with CryoGRID2. Journal of Geophysical Research-Earth Surface, 124(4), 920-937, https://doi.org/10.1029/2018JF004823
Project(s):	Permafrost Research (Periglacial Dynamics) @ AWI (AWI_PerDyn) (URI: http://www.awi.de/en/science/geosciences/periglacial-research.html)
	Rapid Permafrost Thaw in a Warming Arctic and Impacts on the Soil Organic Carbon Pool (PETA-CARB) (URI: https://www.awi.de/en/science/junior-groups/peta-carb.html)
Funding:	Seventh Framework Programme (FP7), grant/award no. 338335: Rapid Permafrost Thaw in a Warming Arctic and Impacts on the Soil Organic Carbon Pool (URI: https://cordis.europa.eu/project/id/338335)
Coverage:	MEDIAN LATITUDE: 71.732605 * MEDIAN LONGITUDE: 129.317215 * SOUTH-BOUND LATITUDE: 71.731130 * WEST-BOUND LONGITUDE: 129.315250 * NORTH-BOUND LATITUDE: 71.734080 * EAST-BOUND LONGITUDE: 129.319180
	DATE/TIME START: 2017-07-29T00:00:00 * DATE/TIME END: 2017-07-29T00:00:00
Event(s):	ERT_BYK_land_2017 * LATITUDE START: 71.734080 * LONGITUDE START: 129.315250 * LATITUDE END: 71.731130 * LONGITUDE END: 129.319180 * DATE/TIME: 2017-07-29T00:00:00 * LOCATION: Bykovsky Peninsula, Lena Delta, Siberia * METHOD/DEVICE: Electrical resistivity tomography (ERT)
Comment:	In July 2017, apparent resistivity data were collected with a Skala system on land and in the nearshore zone. In the nearshore zone, the electrodes lay directly on the seabed. Each row of data includes the position and elevation (in metres) of the two current electrodes (C1 and C2) and the two potential electrodes (P1 and P2), as well as the apparent resistivity (in ohm-meters). The latitude and longitude for the survey start and end points are:
	Profile start: Lat=71.73408, Lon=129.31525
	Profile end: Lat=71.73113, Lon=129.31918
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html)
	Distance [m] (Distance) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: C1 surface distance: position relative to profile start
	Sample elevation [m] (Elevation) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: C1
	Distance [m] (Distance) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: C2 surface distance: position relative to profile start
	Sample elevation [m] (Elevation) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: C2
	Distance [m] (Distance) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: P1 surface distance: position relative to profile start
	Sample elevation [m] (Elevation) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: P1
	Distance [m] (Distance) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: P2 surface distance: position relative to profile start
	Sample elevation [m] (Elevation) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * COMMENT: P2
	Resistivity, apparent [Ohm m] (Resistivity app) * PI: Angelopoulos, Michael (https://orcid.org/0000-0003-2574-5108, michael.angelopoulos@awi.de, https://www.awi.de/en/about-us/organisation/staff/michael-angelopoulos.html) * METHOD/DEVICE: Electrical survey system, Skala
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	6228 data points
*/
Date/Time	Distance [m] (C1 surface distance: position...)	Elevation [m] (C1)	Distance [m] (C2 surface distance: position...)	Elevation [m] (C2)	Distance [m] (P1 surface distance: position...)	Elevation [m] (P1)	Distance [m] (P2 surface distance: position...)	Elevation [m] (P2)	Resistivity app [Ohm m]
2017-07-29	5	14.300	0	14.600	10	14.300	15	14.300	3062.8738
2017-07-29	10	14.300	5	14.300	15	14.300	20	14.500	2964.3376
2017-07-29	15	14.300	10	14.300	20	14.500	25	14.700	3452.8049
2017-07-29	20	14.500	15	14.300	25	14.700	30	14.600	2698.4932
2017-07-29	25	14.700	20	14.500	30	14.600	35	14.600	3412.6743
2017-07-29	35	14.600	30	14.600	40	14.900	45	14.600	2401.9424
2017-07-29	50	14.700	45	14.600	55	14.600	60	14.900	2476.6150
2017-07-29	55	14.600	50	14.700	60	14.900	65	14.900	3252.4534
2017-07-29	60	14.900	55	14.600	65	14.900	70	15.200	4423.1802
2017-07-29	65	14.900	60	14.900	70	15.200	75	15.500	3958.0957
2017-07-29	70	15.200	65	14.900	75	15.500	80	15.400	4888.0195
2017-07-29	75	15.500	70	15.200	80	15.400	85	15.500	3978.3025
2017-07-29	80	15.400	75	15.500	85	15.500	90	15.500	5737.9087
2017-07-29	85	15.500	80	15.400	90	15.500	95	15.800	2980.2844
2017-07-29	90	15.500	85	15.500	95	15.800	100	15.600	3513.8965
2017-07-29	95	15.800	90	15.500	100	15.600	105	15.800	3443.1257
2017-07-29	100	15.600	95	15.800	105	15.800	110	16.000	3962.7327
2017-07-29	105	15.800	100	15.600	110	16.000	115	15.900	3044.6367
2017-07-29	110	16.000	105	15.800	115	15.900	120	16.100	2631.2190
2017-07-29	115	15.900	110	16.000	120	16.100	125	16.100	3125.2280
2017-07-29	120	16.100	115	15.900	125	16.100	130	16.100	2770.4700
2017-07-29	125	16.100	120	16.100	130	16.100	135	16.300	3935.7214
2017-07-29	130	16.100	125	16.100	135	16.300	140	16.300	3672.8547
2017-07-29	135	16.300	130	16.100	140	16.300	145	16.400	2783.9004
2017-07-29	140	16.300	135	16.300	145	16.400	150	16.500	3813.2180
2017-07-29	145	16.400	140	16.300	150	16.500	155	16.600	3543.2546
2017-07-29	150	16.500	145	16.400	155	16.600	160	16.600	3203.1807
2017-07-29	155	16.600	150	16.500	160	16.600	165	16.600	4236.1738
2017-07-29	160	16.600	155	16.600	165	16.600	170	16.700	3951.8472
2017-07-29	165	16.600	160	16.600	170	16.700	175	17.000	5468.6616
2017-07-29	170	16.700	165	16.600	175	17.000	180	17.000	3833.2268
2017-07-29	175	17.000	170	16.700	180	17.000	185	17.000	4008.8479
2017-07-29	180	17.000	175	17.000	185	17.000	190	16.700	3803.3220
2017-07-29	185	17.000	180	17.000	190	16.700	195	16.700	5237.3584
2017-07-29	195	16.700	190	16.700	200	15.600	205	13.700	5984.2441
2017-07-29	230	4.300	225	6.900	235	0.000	240	0.000	1592.8911
2017-07-29	235	0.000	230	4.300	240	0.000	245	-0.227	234.0342
2017-07-29	240	0.000	235	0.000	245	-0.227	250	-0.455	148.0369
2017-07-29	245	-0.227	240	0.000	250	-0.455	255	-0.682	17.6441
2017-07-29	250	-0.455	245	-0.227	255	-0.682	260	-0.909	12.7798
2017-07-29	255	-0.682	250	-0.455	260	-0.909	265	-1.136	12.3562
2017-07-29	260	-0.909	255	-0.682	265	-1.136	270	-1.364	11.1227
2017-07-29	265	-1.136	260	-0.909	270	-1.364	275	-1.591	8.3854
2017-07-29	270	-1.364	265	-1.136	275	-1.591	280	-1.818	7.7031
2017-07-29	275	-1.591	270	-1.364	280	-1.818	285	-2.045	7.0187
2017-07-29	280	-1.818	275	-1.591	285	-2.045	290	-2.273	6.4612
2017-07-29	285	-2.045	280	-1.818	290	-2.273	295	-2.500	4.6016
2017-07-29	290	-2.273	285	-2.045	295	-2.500	300	-2.608	3.8285
2017-07-29	295	-2.500	290	-2.273	300	-2.608	305	-2.717	3.1930
2017-07-29	300	-2.608	295	-2.500	305	-2.717	310	-2.825	3.6070
2017-07-29	305	-2.717	300	-2.608	310	-2.825	315	-2.933	3.3444
2017-07-29	310	-2.825	305	-2.717	315	-2.933	320	-3.042	2.5067
2017-07-29	315	-2.933	310	-2.825	320	-3.042	325	-3.150	2.1133
2017-07-29	320	-3.042	315	-2.933	325	-3.150	330	-3.258	2.7238
2017-07-29	325	-3.150	320	-3.042	330	-3.258	335	-3.367	3.2582
2017-07-29	330	-3.258	325	-3.150	335	-3.367	340	-3.475	2.9981
2017-07-29	335	-3.367	330	-3.258	340	-3.475	345	-3.583	3.0680
2017-07-29	340	-3.475	335	-3.367	345	-3.583	350	-3.692	2.6101
2017-07-29	345	-3.583	340	-3.475	350	-3.692	355	-3.800	2.9003
2017-07-29	5	14.300	0	14.600	20	14.500	25	14.700	13664.9854
2017-07-29	20	14.500	15	14.300	35	14.600	40	14.900	7932.1665
2017-07-29	25	14.700	20	14.500	40	14.900	45	14.600	8901.1748
2017-07-29	40	14.900	35	14.600	55	14.600	60	14.900	6898.8623
2017-07-29	45	14.600	40	14.900	60	14.900	65	14.900	7120.6934
